Frame,Time (ns),RMSD 2 (51 atoms)
78,7.7002,6.001660195621784
79,7.8002,3.1737449170081886
80,7.9002,5.1385635124288855
81,8.0002,3.7553641612499677
82,8.1002,2.8540040566592757
83,8.2002,2.6528985918889703
84,8.3002,2.7169323646047263
85,8.4002,3.2945463879269363
86,8.5002,2.479191818246483
87,8.6002,3.136321264586848
88,8.7002,4.216718838450803
89,8.8002,3.6331695685797873
90,8.9002,3.48262284879499
91,9.0002,2.732382501846836
92,9.1002,3.2269982336471315
93,9.2002,3.3986842834189743
94,9.3002,3.4229934119216723
95,9.4002,3.4325119832044386
96,9.5002,3.3968295363362553
97,9.6002,3.5333805158423686
98,9.7002,3.0029446282138403
99,9.8002,4.245094086735876
100,9.9002,4.116503233181705
101,10.0002,5.520133429432206
102,10.1002,5.441766117774525
103,10.2002,6.598897793294
104,10.3002,5.5883382690170675
105,10.4002,6.5608800489371175
106,10.5002,7.787567328773022
107,10.6002,4.820641380031259
108,10.7002,5.231966708587756
109,10.8002,4.4755570023303965
110,10.9002,4.60196991990299
111,11.0002,3.143407475998026
112,11.1002,3.0338630888126716
113,11.2002,4.67931593329303
114,11.3002,4.391645589675427
115,11.4002,4.639980459453194
116,11.5002,4.334961966631735
117,11.6002,5.572303961025735
118,11.7002,5.013664428472134
119,11.8002,3.9264940266421093
120,11.9002,3.6537900944995534
121,12.0002,3.669209911636162
122,12.1002,3.6343184954471375
123,12.2002,3.879395953808252
124,12.3002,5.5819342062699375
125,12.4002,4.560149616413877
126,12.5002,6.598492809326275
127,12.6003,6.01266110311201
128,12.7003,5.172115485238848
129,12.8003,6.729310603986021
130,12.9003,3.8356490008379316
131,13.0003,4.273503565347068
132,13.1003,4.975172166496426
133,13.2003,3.6623623847693416
134,13.3003,5.634951426230673
135,13.4003,4.532275523556373
136,13.5003,3.7228394395409414
137,13.6003,3.881958753901767
138,13.7003,3.7147762379723948
139,13.8003,4.267415044131654
140,13.9003,5.066850641026031
141,14.0003,4.698215051884784
142,14.1003,3.6808272638844937
143,14.2003,3.665224127385247
144,14.3003,3.397835236438921
145,14.4003,3.2401811930963063
146,14.5003,3.69318116235158
147,14.6003,3.116014752595792
148,14.7003,4.270042313359635
149,14.8003,4.425221631326949
150,14.9003,6.921551123617483
151,15.0003,4.819295667079129
152,15.1003,5.0807280185695864
153,15.2003,4.909537743942037
154,15.3003,5.1115731511478515
155,15.4003,3.553013145599591
156,15.5003,3.7139546823959813
157,15.6003,3.3001683588360073
158,15.7003,5.406849690929019
159,15.8003,2.940876875680706
160,15.9003,3.382172875953384
161,16.0003,5.181135999704588
162,16.1003,6.304697849196088
163,16.2003,4.847682050515003
164,16.3003,3.56008316914865
165,16.4003,4.1118390930055275
166,16.5003,4.577736100524697
167,16.6003,2.582380740144826
168,16.7003,3.4764271079899114
169,16.8003,3.8253759023796814
170,16.9003,4.193251095708599
171,17.0003,5.198608813090411
172,17.1003,5.237295356904889
173,17.2003,2.9262010894818316
174,17.3003,3.141399214184656
175,17.4003,5.592594894713783
176,17.5004,3.797817510143521
177,17.6004,5.125622738673133
178,17.7004,4.450336694886201
179,17.8004,4.562617747383446
180,17.9004,4.210832128830453
181,18.0004,3.636984196821645
182,18.1004,3.6241644281774077
183,18.2004,5.184407480262878
184,18.3004,4.502623859670951
185,18.4004,3.015672467222981
186,18.5004,4.453460123126345
187,18.6004,4.41581324749675
188,18.7004,5.174432370487922
189,18.8004,4.656790106087351
190,18.9004,3.74038964735915
191,19.0004,4.906151083340773
192,19.1004,3.133167197709182
193,19.2004,3.5083455402703256
194,19.3004,3.5996332973969714
195,19.4004,2.6173670899341213
196,19.5004,3.1122782328104477
197,19.6004,3.6292490625848997
198,19.7004,3.6081913428516073
199,19.8004,8.07951496384531
200,19.9004,4.466637740650428
201,20.0004,5.42133168220487
202,20.1004,4.560244942575047
203,20.2004,5.240093039052582
204,20.3004,4.488106854134797
205,20.4004,3.7731048540299614
206,20.5004,3.330487174696917
207,20.6004,4.367211403978585
208,20.7004,3.5936193854615186
209,20.8004,3.5830575117807335
210,20.9004,3.3599750771146963
211,21.0004,2.8191606316049005
212,21.1004,6.55567940274641
213,21.2004,6.666314535449192
214,21.3004,3.935890004017467
215,21.4004,4.431101538500362
216,21.5004,3.6216266547457314
217,21.6004,4.684842002505376
218,21.7004,3.9261655858695628
219,21.8004,6.597320997525268
220,21.9004,3.6090935552630294
221,22.0004,4.962516173355559
222,22.1004,3.146778923005343
223,22.2004,3.1620246844342703
224,22.3004,3.1211918497422992
225,22.4004,3.6330289663872235
226,22.5005,4.0645319910694395
227,22.6005,4.190987607071198
228,22.7005,3.8747877897666974
229,22.8005,3.067985312137122
230,22.9005,4.907115658623816
231,23.0005,5.213653722362425
232,23.1005,3.8018277449200766
233,23.2005,4.045247148662959
234,23.3005,3.368538582580752
235,23.4005,3.603012902950145
236,23.5005,5.2567308563782245
237,23.6005,3.4661856030694174
238,23.7005,4.711395856353552
239,23.8005,4.985391639916894
240,23.9005,5.9647063717818085
241,24.0005,6.249051245932163
242,24.1005,5.611887053583812
243,24.2005,5.771983193781262
244,24.3005,6.297417696644088
245,24.4005,5.627687412166371
246,24.5005,4.836148031757456
247,24.6005,4.6800032378423415
248,24.7005,4.42771487157611
249,24.8005,3.208240081514185
250,24.9005,5.423865004629977
251,25.0005,4.43245324328371
252,25.1005,3.2319683670063784
253,25.2005,3.7088117305677613
254,25.3005,4.3469338069886785
255,25.4005,3.963324628492571
256,25.5005,5.030409213474155
257,25.6005,7.990183854594099
258,25.7005,6.979181836991529
259,25.8005,7.22767974775732
260,25.9005,5.866471645968654
261,26.0005,4.772904267072585
262,26.1005,3.693848578422023
263,26.2005,5.0622951720315434
264,26.3005,3.656689325977909
265,26.4005,7.773365923958305
266,26.5005,4.146646226289642
267,26.6005,3.522329077141872
268,26.7005,3.1779165953008333
269,26.8005,4.2057185347183
270,26.9005,3.40092918301378
271,27.0005,3.4344806949876223
272,27.1005,3.233899802973996
273,27.2005,3.743783814560893
274,27.3005,4.102861398167383
275,27.4005,3.7488482324537107
276,27.5006,3.65932974355687
277,27.6006,5.529490746264081
278,27.7006,3.6549414283088577
279,27.8006,3.703535164504612
280,27.9006,4.756946268719791
281,28.0006,3.5284803518257393
282,28.1006,4.147137081787075
283,28.2006,3.552310858234466
284,28.3006,3.5873528492402635
285,28.4006,5.057052817051171
286,28.5006,4.483163793207785
287,28.6006,3.0245844125656363
288,28.7006,4.16147294981981
289,28.8006,4.149103885669777
290,28.9006,2.9543397221062273
291,29.0006,3.402236490156276
292,29.1006,3.5482226653038555
293,29.2006,3.9398194441799577
294,29.3006,4.956470451362368
295,29.4006,4.578412538552141
296,29.5006,4.118367727266688
297,29.6006,4.608443567731098
298,29.7006,3.8283421366267074
299,29.8006,5.189498935286262
300,29.9006,3.315607877661571
301,30.0006,3.006528667004744
302,30.1006,3.5396097140504144
303,30.2006,3.830189518455629
304,30.3006,4.720840546164156
305,30.4006,4.337302139870455
306,30.5006,5.005544787785325
307,30.6006,5.837841648203707
308,30.7006,3.792127855799212
309,30.8006,4.5296598797862
310,30.9006,7.368819037693279
311,31.0006,6.252400554512221
312,31.1006,5.046493622054793
313,31.2006,5.912416463044779
314,31.3006,6.526234282099324
315,31.4006,4.640624222915914
316,31.5006,5.814037820590926
317,31.6006,4.407333357036795
318,31.7006,4.039274009248971
319,31.8006,5.043381018194424
320,31.9006,5.378168932470816
321,32.0006,5.724970885510535
322,32.1006,6.8276944639934705
323,32.2006,7.018794944893661
324,32.3006,6.098912327918218
325,32.4006,3.845589010859947
326,32.5007,3.6501918466533305
327,32.6007,4.1481240700650535
328,32.7007,3.6423168986206336
329,32.8007,3.9383304742402148
330,32.9007,3.935882067333847
331,33.0007,4.963506527032032
332,33.1007,5.489334694289927
333,33.2007,4.870552269220746
334,33.3007,4.503225968984284
335,33.4007,4.647596879916016
336,33.5007,6.6093540735677205
337,33.6007,3.9905565941748184
338,33.7007,6.792510168634309
339,33.8007,5.4780329185228975
340,33.9007,6.157890350919355
341,34.0007,6.854508396270077
342,34.1007,6.289071576080816
343,34.2007,6.910641839301481
344,34.3007,6.610440359621351
345,34.4007,5.243839270096946
346,34.5007,5.286064028372794
347,34.6007,4.548226810510647
348,34.7007,3.456469097501529
349,34.8007,5.85171612560449
350,34.9007,4.169097401401467
351,35.0007,4.9724863063017315
352,35.1007,8.051091618026708
353,35.2007,5.669902901232587
354,35.3007,4.618346592953373
355,35.4007,4.800767019648824
356,35.5007,5.059280290614289
357,35.6007,4.549075340488999
358,35.7007,5.12603633871907
359,35.8007,5.352363963230863
360,35.9007,5.383833743752671
361,36.0007,3.9637526963694487
362,36.1007,4.295896692068598
363,36.2007,4.947814703514202
364,36.3007,4.365549364948268
365,36.4007,4.36060213803979
366,36.5007,4.344737875737149
367,36.6007,3.6007602210364436
368,36.7007,3.7540514256054465
369,36.8007,3.970236276451179
370,36.9007,4.604866748257728
371,37.0007,4.88868329174701
372,37.1007,6.626505047542949
373,37.2007,4.979576909570145
374,37.3007,5.295659363122948
375,37.4007,6.1651880520409845
376,37.5007,5.778934338320448
377,37.6008,4.636022492591148
378,37.7008,4.229935571732567
379,37.8008,5.8178554607630515
380,37.9008,7.992460511258108
381,38.0008,6.494168420513695
382,38.1008,5.599033383061332
383,38.2008,4.447074130724165
384,38.3008,6.226504583067949
385,38.4008,4.685355534050608
386,38.5008,4.279140452343826
387,38.6008,3.5546963237091225
388,38.7008,4.105405389327567
389,38.8008,4.047317111803695
390,38.9008,4.2427729538901255
391,39.0008,4.5577343269517865
392,39.1008,5.474642146138334
393,39.2008,4.787562509996542
394,39.3008,4.925862308554012
395,39.4008,4.967804713462358
396,39.5008,5.10630928299569
397,39.6008,5.3749613847382
398,39.7008,4.407805634744746
399,39.8008,4.321003935240015
400,39.9008,3.223220424203719
401,40.0008,5.013968869741667
402,40.1008,5.392725983444663
403,40.2008,6.028572502395281
404,40.3008,5.025436748044725
405,40.4008,4.5547959287101545
406,40.5008,6.610697612268931
407,40.6008,7.803134853712036
408,40.7008,6.274087752840027
409,40.8008,7.328392821967174
410,40.9008,4.623451668356575
411,41.0008,4.237239550818606
412,41.1008,5.476147603585104
413,41.2008,4.6013676315133845
414,41.3008,5.607394400165866
415,41.4008,7.406328718389043
416,41.5008,7.11631083682942
417,41.6008,5.147353090769744
418,41.7008,6.819351796009213
419,41.8008,5.469776415517712
420,41.9008,4.678454594606802
421,42.0008,6.0436841086326485
422,42.1008,5.833054461015177
423,42.2008,5.15982767136816
424,42.3008,5.097835973781919
425,42.4008,4.975070300230229
426,42.5008,4.889955156602093
427,42.6009,4.942444336500568
428,42.7009,5.504830297705598
429,42.8009,4.9178187584022615
430,42.9009,6.046324593415296
431,43.0009,6.012332577568607
432,43.1009,6.4125867680652435
433,43.2009,6.023660068662502
434,43.3009,6.912641891684702
435,43.4009,6.6957838282138535
436,43.5009,5.395368321840936
437,43.6009,7.042523992001873
438,43.7009,9.15335862865669
439,43.8009,5.601714982314059
440,43.9009,6.288686043479221
441,44.0009,5.315714256496048
442,44.1009,6.332873790558072
443,44.2009,4.9320683016910305
444,44.3009,6.125744428589415
445,44.4009,5.1429030096634225
446,44.5009,4.7240918380476185
447,44.6009,7.051694236252644
448,44.7009,7.430276854342287
449,44.8009,4.7300747973141375
450,44.9009,4.296614232834637
451,45.0009,4.868784997179709
452,45.1009,5.950930306727711
453,45.2009,6.492372846129006
454,45.3009,7.077588685894698
455,45.4009,5.025952833379463
456,45.5009,5.665647787390456
457,45.6009,4.832139854054232
458,45.7009,5.502129736091281
459,45.8009,5.521499687746542
460,45.9009,5.460950738229201
461,46.0009,5.171978090367688
462,46.1009,5.574694014329383
463,46.2009,6.048764005082463
464,46.3009,5.652453199452971
465,46.4009,6.088646239099222
466,46.5009,5.642828846523761
467,46.6009,4.982132088904192
468,46.7009,5.192705882136701
469,46.8009,5.463401484775836
470,46.9009,5.231766042722762
471,47.0009,5.0942885993827955
472,47.1009,5.001967736018345
473,47.2009,5.286710370086436
474,47.3009,5.7293706596237595
475,47.4009,6.196300507535882
476,47.501,5.387702465544264
477,47.601,5.066261023659935
478,47.701,4.730341685943906
479,47.801,5.191685611334993
480,47.901,5.258117806226845
481,48.001,4.869452297072644
482,48.101,5.116136080272271
483,48.201,5.508647034919311
484,48.301,5.057251738066922
485,48.401,5.720976886304163
486,48.501,6.108908817770142
487,48.601,6.103122306062034
488,48.701,7.960066135742447
489,48.801,7.278556522517866
490,48.901,6.515903576454036
491,49.001,5.447754246312801
492,49.101,7.848115319177529
493,49.201,5.904643724426985
494,49.301,7.669767867638702
495,49.401,8.236336292379269
496,49.501,6.23848663313038
497,49.601,5.53758875714988
498,49.701,7.560390496211494
499,49.801,6.0024220254798
500,49.901,6.40893427293201
501,50.001,7.4345459936752825
502,50.101,8.053632403426983
503,50.201,5.389498690113501
504,50.301,6.908778942609731
505,50.401,6.168776058766558
506,50.501,6.288422229943553
507,50.601,5.789303763149668
508,50.701,6.833737710811274
509,50.801,7.293541831398667
510,50.901,6.51583017361425
511,51.001,6.0506998023216365
512,51.101,6.480828810164928
513,51.201,5.783441523496741
514,51.301,5.64937401488285
515,51.401,6.67600140691123
516,51.501,6.735756247720258
517,51.601,5.862478383641828
518,51.701,6.092625816486594
519,51.801,4.979327890401933
520,51.901,5.937480974184227
521,52.001,4.037441301341268
522,52.101,5.7586583867281
523,52.201,5.251078357661779
524,52.301,4.8979917944694815
525,52.401,5.747307064411163
526,52.5011,5.769071933697108
527,52.6011,5.052268681181482
528,52.7011,4.970579542385142
529,52.8011,5.396468464307272
530,52.9011,5.8008863140430575
531,53.0011,5.7510545350997635
532,53.1011,5.7048220120423885
533,53.2011,5.168908563683973
534,53.3011,4.696399232448868
535,53.4011,5.047244371857927
536,53.5011,6.2566010409699135
537,53.6011,6.071237271498482
538,53.7011,4.883193589947663
539,53.8011,5.682195126755837
540,53.9011,6.88057506852236
541,54.0011,6.136337030774364
542,54.1011,4.99858412004051
543,54.2011,4.469488426268307
544,54.3011,5.540998046316064
545,54.4011,5.159866459319212
546,54.5011,4.8549495714561415
547,54.6011,5.069221920795474
548,54.7011,4.983882680513982
549,54.8011,4.494734186439458
550,54.9011,5.8390115291672
551,55.0011,5.9638739092464785
552,55.1011,5.279508191921025
553,55.2011,4.636405326579789
554,55.3011,5.056259177850215
555,55.4011,4.400394460801456
556,55.5011,5.410847975389462
557,55.6011,5.402528212350109
558,55.7011,4.821494588809299
559,55.8011,5.247710297103063
560,55.9011,5.386729399892571
561,56.0011,5.570589566334849
562,56.1011,5.930689532788942
563,56.2011,5.633125664901954
564,56.3011,4.891232045943329
565,56.4011,5.494233820694935
566,56.5011,4.9067575306263596
567,56.6011,4.925468367892537
568,56.7011,4.991825010121702
569,56.8011,5.571933452791181
