  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.532        4.776            0      404.554      116.104       98.093
      127        1.382        4.825            0      411.426       90.869      100.232
      128        1.451        4.690            0      402.926       81.296      104.041
      129        1.439        4.669            0      400.717       67.576      100.309
      130        1.324        4.893            0      419.445       79.939       99.681
      131        1.588        4.864            0      411.886      109.799       97.824
      132        1.376        4.852            0      416.885       89.628      100.441
      133        1.628        4.802            0      409.216      107.071       95.513
      134        1.412        4.738            0      411.227       85.310       99.447
      135        1.567        4.674            0      401.745       73.521      102.810
      136        1.657        4.747            0      402.637       84.271      100.346
      137        1.635        4.831            0      407.228       88.515      104.292
      138        1.471        4.690            0      407.123       98.632      101.580
      139        1.667        4.883            0      412.167       87.322       98.547
      140        1.362        4.867            0      414.084      107.581      100.573
      141        1.612        4.904            0      410.316       96.663       99.465
      142        1.270        4.836            0      410.152       81.056      100.508
      143        1.607        4.762            0      408.121      106.259      102.459
      144        1.557        5.069            0      431.577      126.177       96.274
      145        1.444        4.696            0      406.971      138.718      100.117
      146        1.637        4.882            0      412.672      106.710       97.435
      147        1.430        4.948            0      419.724      124.170       97.734
      148        1.655        4.667            0      397.979      107.619       96.222
      149        1.462        4.746            0      405.621      110.456      102.087
      150        1.550        4.721            0      398.429       96.213       96.975
      151        1.389        4.700            0      404.174      104.021      100.458
      152        1.566        4.806            0      414.007      130.714       99.522
      153        1.697        4.820            0      408.142      124.905      101.951
      154        1.312        4.772            0      410.840      127.138      100.908
      155        1.461        4.747            0      404.789      106.341      105.565
      156        1.668        4.950            0      420.777      119.904      102.378
      157        1.583        4.909            0      414.140      139.278      102.352
      158        1.365        4.861            0      410.486      113.524      102.607
      159        1.477        4.841            0      409.623       98.962       95.760
      160        1.428        4.908            0      414.189      117.909       98.159
      161        1.634        4.870            0      412.570      120.924      100.509
      162        1.599        4.911            0      414.127      124.970      106.452
      163        1.465        4.837            0      409.334      104.298       98.204
      164        1.298        4.739            0      406.412      124.165       99.970
      165        1.687        4.941            0      412.231      122.443       99.212
      166        1.508        4.787            0      405.036      118.477       99.687
      167        1.624        4.746            0      403.911       97.738      102.561
      168        1.594        4.755            0      407.932      140.062      102.326
      169        1.619        4.718            0      404.573      133.714       96.520
      170        1.524        4.931            0      415.879      125.740       95.728
      171        1.600        4.734            0      402.735      108.848      104.061
      172        1.428        4.771            0      405.941      104.895      102.111
      173        1.430        4.881            0      415.249      108.608      100.587
      174        1.660        4.962            0      414.194      111.273      101.159
      175        1.675        4.859            0      413.202       96.643      102.450
      176        1.672        4.907            0      416.142       96.729      102.183
      177        1.395        4.774            0      402.735      101.611      102.966
      178        1.700        4.825            0      413.456      129.563      101.125
      179        1.504        4.876            0      419.551      127.100       98.810
      180        1.720        5.005            0      415.556      110.519      103.715
      181        1.610        4.729            0      408.160      109.844       98.509
      182        1.694        4.818            0      415.237      124.446       97.038
      183        1.739        4.726            0      404.964      114.570       98.129
      184        0.927        4.800            0      418.816      107.880      103.713
      185        1.431        4.769            0      406.271      124.540      100.415
      186        1.630        4.771            0      411.070      141.319       96.116
      187        1.738        4.885            0      407.949      111.750       96.865
      188        1.677        4.712            0      407.638      106.897       99.305
      189        1.633        4.673            0      401.487      125.038       98.238
      190        1.732        4.843            0      410.923      149.550       99.797
      191        1.613        4.769            0      408.614      133.240       96.673
      192        1.378        4.815            0      414.091      147.392      102.043
      193        1.636        4.841            0      412.652      114.744       98.932
      194        1.271        4.899            0      419.789      120.905      103.393
      195        1.492        4.781            0      409.947      130.798       98.467
      196        1.511        4.876            0      415.453      111.617       99.932
      197        1.420        4.719            0      405.873      123.533      106.219
      198        1.627        4.823            0      414.639      108.949       94.788
      199        1.627        4.804            0      413.732      122.189      100.840
      200        1.501        4.743            0      405.208      148.570       96.582
      201        1.488        4.965            0      419.412      137.067      102.924
      202        1.538        4.804            0      410.968      139.675       99.663
      203        1.537        4.874            0      413.108      152.715      103.260
      204        1.548        4.983            0      417.948      137.355      100.160
      205        1.461        4.725            0      406.026      112.056       97.760
      206        1.355        4.898            0      421.953      128.180      104.554
